id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,primary_title,start_year,genres
79,2012,Parental Guidance,25000000,"$77,267,296",120832383,95832383,Parental Guidance,2012,Family/Animation
72,2014,The Nut Job,30000000,"$64,251,538",122529966,92529966,The Nut Job,2014,Family/Animation
8,2019,The Lego Movie 2: The Second Part,99000000,"$105,806,508",190325698,91325698,The Lego Movie 2: The Second Part,2019,Family/Animation
1,2014,Dumb and Dumber To,40000000,"$86,208,010",156553592,116553592,Dumb and Dumber To,2014,Comedy
71,2011,Zookeeper,80000000,"$80,360,866",170805525,90805525,Zookeeper,2011,Family/Animation
96,2012,The Dictator,65000000,"$59,650,222",180148897,115148897,The Dictator,2012,Comedy
19,2017,The Shape of Water,19500000,"$63,859,435",195790794,176290794,The Shape of Water,2017,Drama
28,2013,RED 2,84000000,"$53,262,560",141507355,57507355,RED 2,2013,Crime/Mystery
59,2017,Captain Underpants: The First Epic Movie,38000000,"$73,921,000",126577874,88577874,Captain Underpants: The First Epic Movie,2017,Family/Animation
58,2017,Pitch Perfect 3,45000000,"$104,897,530",185736412,140736412,Pitch Perfect 3,2017,Comedy
39,2013,2 Guns,61000000,"$75,612,460",132493015,71493015,2 Guns,2013,Crime/Mystery
12,2011,War Horse,70000000,"$79,883,359",156815529,86815529,War Horse,2011,Drama
100,2011,Spy Kids 4-D: All the Time in the World,27000000,"$38,536,376",80681183,53681183,Spy Kids 4-D: All the Time in the World,2011,Action/Adventure
34,2012,The Pirates! Band of Misfits,55000000,"$31,051,126",136143605,81143605,The Pirates! Band of Misfits,2012,Family/Animation
91,2013,This Is the End,32000000,"$101,470,202",126539117,94539117,This Is the End,2013,Comedy
67,2014,Ride Along,25000000,"$134,202,565",153733800,128733800,Ride Along,2014,Crime/Mystery
7,2012,Mirror Mirror,85000000,"$64,935,167",173613482,88613482,Mirror Mirror,2012,Dramedy
81,2017,The Foreigner,35000000,"$34,393,507",140783360,105783360,The Foreigner,2017,Action/Thriller
51,2015,Shaun the Sheep Movie,25000000,"$19,375,982",101925161,76925161,Shaun the Sheep Movie,2015,Family/Animation
88,2012,Magic Mike,7000000,"$113,721,571",170549753,163549753,Magic Mike,2012,Dramedy
33,2015,The Hateful Eight,62000000,"$54,117,416",147864886,85864886,The Hateful Eight,2015,Crime/Mystery
9,2013,Olympus Has Fallen,70000000,"$98,927,592",172878928,102878928,Olympus Has Fallen,2013,Action/Thriller
85,2016,Jack Reacher: Never Go Back,60000000,"$58,697,076",159946489,99946489,Jack Reacher: Never Go Back,2016,Action/Thriller
36,2015,Trainwreck,35000000,"$110,212,700",141123897,106123897,Trainwreck,2015,Dramedy
12,2017,Alien: Covenant,97000000,"$74,262,031",238521247,141521247,Alien: Covenant,2017,Horror
59,2012,Paranormal Activity 4,5000000,"$53,900,335",142817992,137817992,Paranormal Activity 4,2012,Horror
11,2011,Jack and Jill,79000000,"$74,158,157",150519217,71519217,Jack and Jill,2011,Comedy
63,2010,RED,60000000,"$90,380,162",196439693,136439693,RED,2010,Crime/Mystery
70,2013,Warm Bodies,30000000,"$66,380,662",115121608,85121608,Warm Bodies,2013,Comedy
42,2015,The Big Short,28000000,"$70,259,870",133162752,105162752,The Big Short,2015,Dramedy
9,2017,The Post,50000000,"$81,903,458",179748880,129748880,The Post,2017,Biography/Historical
69,2012,Looper,30000000,"$66,486,205",170466405,140466405,Looper,2012,Crime/Mystery
100,2012,The Impossible,40000000,"$19,019,882",169590606,129590606,The Impossible,2012,Drama
5,2011,Tower Heist,85000000,"$78,046,570",150422946,65422946,Tower Heist,2011,Crime/Mystery
95,2017,The Dark Tower,60000000,"$50,701,325",113461527,53461527,The Dark Tower,2017,Action/Adventure
89,2014,Annie,65000000,"$85,911,262",139829625,74829625,Annie,2014,Family/Animation
84,2011,No Strings Attached,25000000,"$70,662,220",149228078,124228078,No Strings Attached,2011,Comedy
44,2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,"$66,954,149",101379287,73379287,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Family/Animation
21,2011,Unknown,40000000,"$63,686,397",136123083,96123083,Unknown,2011,Action/Thriller
9,2013,Mama,15000000,"$71,628,180",148095566,133095566,Mama,2013,Horror
